Id,y
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,0
12,1
13,1
14,1
15,0
16,0
17,0
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,0
26,1
27,0
28,1
29,1
30,1
31,0
32,1
33,0
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,1
44,1
45,1
46,1
47,1
48,0
49,0
50,1
51,0
52,0
53,1
54,0
55,1
56,1
57,1
58,0
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,0
67,1
68,1
69,1
70,0
71,0
72,1
73,0
74,1
75,0
76,0
77,0
78,0
79,1
80,1
81,0
82,0
83,1
84,1
85,1
86,1
87,1
88,1
89,0
90,1
91,1
92,1
93,0
94,0
95,1
96,0
97,1
98,0
99,1
100,1
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,1
118,1
119,0
120,0
121,1
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,1
135,1
136,0
137,1
138,0
139,1
140,1
141,0
142,1
143,1
144,1
145,1
146,0
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,0
161,1
162,0
163,0
164,1
165,0
166,0
167,1
168,1
169,1
170,1
171,0
172,0
173,1
174,1
175,0
176,1
177,1
178,0
179,1
180,0
181,1
182,0
183,0
184,1
185,1
186,0
187,1
188,1
189,1
190,1
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,0
209,0
210,1
211,0
212,0
213,0
214,1
215,1
216,0
217,1
218,1
219,0
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,0
228,1
229,0
230,1
231,1
232,1
233,1
234,1
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,1
249,1
250,1
251,1
252,1
253,1
254,0
255,0
256,1
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,0
266,0
267,1
268,0
269,0
270,0
271,1
272,1
273,1
274,0
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,0
285,0
286,0
287,1
288,0
289,1
290,1
291,1
292,1
293,1
294,1
295,0
296,1
297,1
298,1
299,1
300,0
301,1
302,1
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,0
316,1
317,0
318,0
319,1
320,1
321,0
322,1
323,0
324,1
325,1
326,0
327,1
328,1
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,0
342,0
343,0
344,1
345,1
346,1
347,1
348,1
349,0
350,1
351,0
352,1
353,0
354,1
355,1
356,1
357,1
358,0
359,1
360,1
361,0
362,1
363,1
364,0
365,1
366,1
367,0
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,0
376,0
377,1
378,0
379,0
380,0
381,0
382,1
383,0
384,0
385,0
386,1
387,1
388,1
389,1
390,1
391,1
392,1
393,1
394,1
395,1
396,1
397,1
398,0
399,1
400,1
401,1
402,1
403,1
404,1
405,1
406,0
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,1
416,1
417,1
418,1
419,1
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,0
429,1
430,1
431,1
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,0
440,0
441,1
442,1
443,1
444,0
445,1
446,0
447,1
448,1
449,1
450,0
451,0
452,0
453,1
454,0
455,0
456,1
457,1
458,1
459,0
460,1
461,1
462,1
463,1
464,1
465,1
466,1
467,0
468,1
469,1
470,1
471,1
472,1
473,1
474,1
475,1
476,1
477,1
478,0
479,0
480,0
481,1
482,1
483,0
484,1
485,1
486,0
487,0
488,1
489,1
490,1
491,0
492,1
493,0
494,1
495,0
496,1
497,0
498,0
499,1
